TIME_STEP, acou_kinetic, dipo_kinetic, short_range, long_range, dipole_E_field, unharmonic, homo_strain, homo_coupling, homo_strain_int, homo_coupling_i, inho_strain, inho_coupling, inho_modulation, total_energy, H_Nose_Poincare
24, 0.000000, 0.266897, 0.070051, -0.069020, 0.000000, 0.039951, 0.006133, -0.012267, 0.000105, 0.000027, 0.005041, -0.010082, 0.000000, 0.296836, 0.000013
25, 0.000000, 0.264309, 0.069363, -0.070289, 0.000000, 0.037410, 0.005733, -0.011466, 0.000104, 0.000026, 0.004692, -0.009384, 0.000000, 0.290499, 0.000009
26, 0.000000, 0.257462, 0.068661, -0.071001, 0.000000, 0.035284, 0.005375, -0.010750, 0.000104, 0.000026, 0.004398, -0.008797, 0.000000, 0.280762, 0.000005
27, 0.000000, 0.246872, 0.067948, -0.071174, 0.000000, 0.033536, 0.005058, -0.010116, 0.000103, 0.000026, 0.004156, -0.008312, 0.000000, 0.268096, -0.000001
28, 0.000000, 0.233285, 0.067227, -0.070845, 0.000000, 0.032092, 0.004779, -0.009558, 0.000103, 0.000025, 0.003960, -0.007921, 0.000000, 0.253148, -0.000012
29, 0.000000, 0.217522, 0.066500, -0.070062, 0.000000, 0.030912, 0.004536, -0.009072, 0.000103, 0.000025, 0.003805, -0.007610, 0.000000, 0.236658, -0.000026
30, 0.000000, 0.200404, 0.065770, -0.068882, 0.000000, 0.029963, 0.004325, -0.008650, 0.000102, 0.000024, 0.003685, -0.007369, 0.000000, 0.219372, -0.000042
31, 0.000000, 0.182699, 0.065039, -0.067371, 0.000000, 0.029209, 0.004143, -0.008286, 0.000102, 0.000024, 0.003592, -0.007185, 0.000000, 0.201967, -0.000058
32, 0.000000, 0.165073, 0.064309, -0.065594, 0.000000, 0.028605, 0.003986, -0.007971, 0.000102, 0.000024, 0.003523, -0.007047, 0.000000, 0.185011, -0.000075
33, 0.000000, 0.148053, 0.063582, -0.063613, 0.000000, 0.028109, 0.003850, -0.007700, 0.000102, 0.000024, 0.003472, -0.006945, 0.000000, 0.168934, -0.000090
34, 0.000000, 0.132016, 0.062859, -0.061489, 0.000000, 0.027687, 0.003733, -0.007465, 0.000102, 0.000023, 0.003435, -0.006870, 0.000000, 0.154031, -0.000102
35, 0.000000, 0.117204, 0.062141, -0.059276, 0.000000, 0.027316, 0.003631, -0.007262, 0.000102, 0.000023, 0.003408, -0.006815, 0.000000, 0.140471, -0.000112
36, 0.000000, 0.103739, 0.061429, -0.057020, 0.000000, 0.026978, 0.003542, -0.007084, 0.000101, 0.000023, 0.003387, -0.006774, 0.000000, 0.128322, -0.000119
37, 0.000000, 0.091659, 0.060724, -0.054763, 0.000000, 0.026665, 0.003464, -0.006928, 0.000101, 0.000023, 0.003371, -0.006742, 0.000000, 0.117574, -0.000122
38, 0.000000, 0.080939, 0.060026, -0.052538, 0.000000, 0.026367, 0.003395, -0.006789, 0.000101, 0.000023, 0.003357, -0.006714, 0.000000, 0.108166, -0.000123
39, 0.000000, 0.071515, 0.059334, -0.050374, 0.000000, 0.026075, 0.003332, -0.006664, 0.000101, 0.000023, 0.003343, -0.006686, 0.000000, 0.100000, -0.000121
40, 0.000000, 0.063300, 0.058650, -0.048291, 0.000000, 0.025778, 0.003275, -0.006551, 0.000101, 0.000022, 0.003328, -0.006657, 0.000000, 0.092958, -0.000117
41, 0.000000, 0.056190, 0.057972, -0.046308, 0.000000, 0.025473, 0.003223, -0.006446, 0.000101, 0.000022, 0.003311, -0.006623, 0.000000, 0.086917, -0.000111
42, 0.000000, 0.050074, 0.057301, -0.044436, 0.000000, 0.025159, 0.003174, -0.006348, 0.000101, 0.000022, 0.003292, -0.006584, 0.000000, 0.081755, -0.000103
43, 0.000000, 0.044841, 0.056636, -0.042687, 0.000000, 0.024839, 0.003127, -0.006255, 0.000101, 0.000022, 0.003270, -0.006539, 0.000000, 0.077356, -0.000093
44, 0.000000, 0.040394, 0.055977, -0.041065, 0.000000, 0.024513, 0.003083, -0.006165, 0.000101, 0.000022, 0.003244, -0.006488, 0.000000, 0.073615, -0.000082
45, 0.000000, 0.036641, 0.055323, -0.039576, 0.000000, 0.024181, 0.003039, -0.006078, 0.000101, 0.000022, 0.003215, -0.006431, 0.000000, 0.070437, -0.000070
46, 0.000000, 0.033503, 0.054674, -0.038221, 0.000000, 0.023841, 0.002996, -0.005993, 0.000101, 0.000022, 0.003183, -0.006366, 0.000000, 0.067740, -0.000058
47, 0.000000, 0.030913, 0.054029, -0.037001, 0.000000, 0.023490, 0.002954, -0.005908, 0.000101, 0.000022, 0.003148, -0.006296, 0.000000, 0.065451, -0.000046
48, 0.000000, 0.028809, 0.053388, -0.035915, 0.000000, 0.023127, 0.002912, -0.005823, 0.000101, 0.000022, 0.003109, -0.006218, 0.000000, 0.063511, -0.000034
49, 0.000000, 0.027141, 0.052751, -0.034961, 0.000000, 0.022750, 0.002869, -0.005738, 0.000101, 0.000021, 0.003067, -0.006134, 0.000000, 0.061867, -0.000022
50, 0.000000, 0.025866, 0.052117, -0.034138, 0.000000, 0.022361, 0.002826, -0.005652, 0.000101, 0.000021, 0.003022, -0.006043, 0.000000, 0.060480, -0.000012
51, 0.000000, 0.024945, 0.051485, -0.033441, 0.000000, 0.021959, 0.002782, -0.005564, 0.000101, 0.000021, 0.002973, -0.005947, 0.000000, 0.059315, -0.000003
52, 0.000000, 0.024350, 0.050856, -0.032867, 0.000000, 0.021548, 0.002738, -0.005475, 0.000100, 0.000021, 0.002922, -0.005844, 0.000000, 0.058347, 0.000005
53, 0.000000, 0.024054, 0.050228, -0.032413, 0.000000, 0.021127, 0.002692, -0.005385, 0.000100, 0.000021, 0.002869, -0.005737, 0.000000, 0.057557, 0.000012
54, 0.000000, 0.024041, 0.049603, -0.032073, 0.000000, 0.020700, 0.002646, -0.005293, 0.000100, 0.000021, 0.002813, -0.005625, 0.000000, 0.056933, 0.000016
55, 0.000000, 0.024297, 0.048980, -0.031844, 0.000000, 0.020266, 0.002599, -0.005199, 0.000100, 0.000021, 0.002755, -0.005510, 0.000000, 0.056465, 0.000019
56, 0.000000, 0.024815, 0.048358, -0.031720, 0.000000, 0.019828, 0.002552, -0.005103, 0.000100, 0.000021, 0.002695, -0.005391, 0.000000, 0.056154, 0.000020
57, 0.000000, 0.025591, 0.047737, -0.031696, 0.000000, 0.019385, 0.002503, -0.005006, 0.000100, 0.000020, 0.002634, -0.005269, 0.000000, 0.056001, 0.000020
58, 0.000000, 0.026626, 0.047118, -0.031767, 0.000000, 0.018939, 0.002453, -0.004907, 0.000100, 0.000020, 0.002572, -0.005144, 0.000000, 0.056012, 0.000017
59, 0.000000, 0.027926, 0.046502, -0.031926, 0.000000, 0.018491, 0.002403, -0.004806, 0.000100, 0.000020, 0.002509, -0.005018, 0.000000, 0.056200, 0.000013
60, 0.000000, 0.029497, 0.045887, -0.032168, 0.000000, 0.018041, 0.002352, -0.004705, 0.000100, 0.000020, 0.002445, -0.004891, 0.000000, 0.056580, 0.000008
61, 0.000000, 0.031353, 0.045274, -0.032485, 0.000000, 0.017590, 0.002301, -0.004601, 0.000100, 0.000020, 0.002381, -0.004762, 0.000000, 0.057171, 0.000001
62, 0.000000, 0.033509, 0.044664, -0.032870, 0.000000, 0.017140, 0.002249, -0.004497, 0.000100, 0.000020, 0.002317, -0.004634, 0.000000, 0.057997, -0.000006
63, 0.000000, 0.035982, 0.044058, -0.033315, 0.000000, 0.016692, 0.002196, -0.004393, 0.000100, 0.000020, 0.002253, -0.004506, 0.000000, 0.059086, -0.000015
64, 0.000000, 0.038793, 0.043456, -0.033812, 0.000000, 0.016247, 0.002144, -0.004288, 0.000100, 0.000019, 0.002189, -0.004379, 0.000000, 0.060470, -0.000024
65, 0.000000, 0.041966, 0.042859, -0.034351, 0.000000, 0.015809, 0.002091, -0.004183, 0.000100, 0.000019, 0.002127, -0.004254, 0.000000, 0.062183, -0.000033
66, 0.000000, 0.045525, 0.042268, -0.034922, 0.000000, 0.015380, 0.002039, -0.004078, 0.000100, 0.000019, 0.002066, -0.004132, 0.000000, 0.064265, -0.000042
67, 0.000000, 0.049496, 0.041685, -0.035512, 0.000000, 0.014964, 0.001987, -0.003975, 0.000100, 0.000019, 0.002007, -0.004015, 0.000000, 0.066757, -0.000051
68, 0.000000, 0.053907, 0.041111, -0.036111, 0.000000, 0.014565, 0.001936, -0.003873, 0.000100, 0.000019, 0.001951, -0.003902, 0.000000, 0.069702, -0.000058
69, 0.000000, 0.058782, 0.040547, -0.036703, 0.000000, 0.014186, 0.001886, -0.003773, 0.000099, 0.000018, 0.001898, -0.003796, 0.000000, 0.073146, -0.000065
70, 0.000000, 0.064146, 0.039997, -0.037273, 0.000000, 0.013832, 0.001838, -0.003675, 0.000099, 0.000018, 0.001849, -0.003698, 0.000000, 0.077133, -0.000070
71, 0.000000, 0.070020, 0.039461, -0.037805, 0.000000, 0.013506, 0.001791, -0.003581, 0.000099, 0.000018, 0.001804, -0.003608, 0.000000, 0.081705, -0.000074
72, 0.000000, 0.076415, 0.038943, -0.038279, 0.000000, 0.013214, 0.001746, -0.003492, 0.000099, 0.000018, 0.001765, -0.003530, 0.000000, 0.086900, -0.000077
73, 0.000000, 0.083333, 0.038446, -0.038677, 0.000000, 0.012965, 0.001704, -0.003407, 0.000099, 0.000018, 0.001732, -0.003464, 0.000000, 0.092747, -0.000079
